id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
3;17;1966080;10756;1955324;0;283;104972;105255
2;18;1966080;8855;1957225;0;160;104982;105142
6;18;1966058;8303;1957755;0;160;104920;105080
4;18;1966080;6885;1959195;0;200;104849;105049
1;18;1966032;7149;1958883;0;262;104813;105075
7;18;1966080;6084;1959996;0;160;104928;105088
5;18;1966080;9460;1956620;0;200;104903;105103
3;18;1966080;7984;1958096;0;160;104913;105073
2;19;1966080;8570;1957510;0;160;104920;105080
6;19;1966078;10095;1955983;0;302;104817;105119
4;19;1966080;6035;1960045;0;160;104928;105088
1;19;1966067;6854;1959213;0;200;104813;105013
7;19;1966080;8438;1957642;0;262;104919;105181
5;19;1966080;9485;1956595;0;160;104976;105136
3;19;1966080;7675;1958405;0;160;104916;105076
2;20;1966080;8027;1958053;0;160;104913;105073
6;20;1966058;8674;1957384;0;160;104920;105080
4;20;1966080;6749;1959331;0;160;104932;105092
1;20;1966080;6485;1959595;0;160;104889;105049
7;20;1966080;6085;1959995;0;160;104928;105088
5;20;1966080;8352;1957728;0;200;104837;105037
3;20;1966080;9090;1956990;0;200;104841;105041
2;21;1966080;9084;1956996;0;200;104841;105041
6;21;1966080;7553;1958527;0;160;104916;105076
4;21;1966080;6246;1959834;0;160;104928;105088
1;21;1966080;7388;1958692;0;200;104810;105010
7;21;1966080;6139;1959941;0;160;104928;105088
5;21;1966080;8247;1957833;0;160;104920;105080
3;21;1966080;7710;1958370;0;160;104916;105076
2;22;1966090;7735;1958355;0;160;104916;105076
6;22;1966080;8567;1957513;0;200;104834;105034
4;22;1966080;6891;1959189;0;200;104849;105049
1;22;1966080;6347;1959733;0;160;104892;105052
7;22;1966080;7598;1958482;0;200;104853;105053
5;22;1966080;7950;1958130;0;160;104913;105073
3;22;1966080;8123;1957957;0;160;104913;105073
2;23;1966070;8571;1957499;0;200;104837;105037
6;23;1966080;7561;1958519;0;160;104916;105076
4;23;1966080;6064;1960016;0;160;104928;105088
1;23;1966080;7010;1959070;0;160;104888;105048
7;23;1966080;6118;1959962;0;160;104928;105088
5;23;1966080;8303;1957777;0;181;104982;105163
